"state","state1","zip","provider","age","DOB","start","uri","planname","quote_P","confirm_P"
"Alabama","AL","35215","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Alabama","AL","36310","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Alaska","AK","99504","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Arkansas","AR","72209","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Arizona","AZ","85364","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##California","CA","90011","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##California","CA","91301","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##California","CA","92653","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##California","CA","96101","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Colorado","CO","80219","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Connecticut","CT","06606","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Delaware","DE","19805","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##DC","DC","20015","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Florida","FL","33186","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Florida","FL","32234","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Georgia","GA","30044","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Georgia","GA","31622","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Hawaii","HI","96818","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Iowa","IA","50317","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Idaho","ID","83709","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Illinois","IL","60629","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Illinois","IL","61410","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Indiana","IN","46227","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Kansas","KS","66062","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Kentucky","KY","40214","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Louisiana","LA","70816","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Massachusetts","MA","02128","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Maryland","MD","21215","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Maine","ME","04401","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Michigan","MI","48228","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Michigan","MI","49610","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Minnesota","MN","55106","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Missouri","MO","63129","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Mississippi","MS","39503","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Montana","MT","59102","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##North Carolina","NC","28269","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##North Dakota","ND","58103","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Nebraska","NE","68104","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##New Hampshire","NH","03103","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##New Jersey","NJ","08701","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##New Mexico","NM","87121","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Nevada","NV","89110","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##New York","NY","11226","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Ohio","OH","43228","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Oklahoma","OK","73160","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Oregon","OR","97229","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Pennsylvania","PA","19120","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Pennsylvania","PA","15410","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Pennsylvania","PA","19501","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Rhode Island","RI","02909","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##South Carolina","SC","29223","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##South Dakota","SD","57106","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Tennessee","TN","37013","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Texas","TX","79936","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Texas","TX","77515","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Texas","TX","79713","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Utah","UT","84120","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Virginia","VA","23464","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Virginia","VA","22044","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Virginia","VA","24053","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Vermont","VT","05401","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Washington","WA","98115","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Wisconsin","WI","53215","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Wisconsin","WI","54405","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##West Virginia","WV","25302","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##West Virginia","WV","26320","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Wyoming","WY","82001","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
